iter	Logloss
0	0.6547040007
1	0.6267472071
2	0.5990734171
3	0.5795541972
4	0.5647154319
5	0.5530786536
6	0.5435744768
7	0.5322690872
8	0.523406095
9	0.5145711455
10	0.5072838489
11	0.504527469
12	0.4985848178
13	0.4922954861
14	0.488832856
15	0.4881214344
16	0.4840778573
17	0.4813522541
18	0.4783134901
19	0.4760513176
20	0.4743709474
21	0.4740048298
22	0.4724534964
23	0.469405376
24	0.467826665
25	0.4663143984
26	0.4653043692
27	0.4636145953
28	0.4624336565
29	0.4613294419
30	0.4601807184
31	0.4585198237
32	0.456605507
33	0.4559881818
34	0.4547141459
35	0.4539664511
36	0.4523733825
37	0.4519857807
38	0.451039614
39	0.4499912608
40	0.448344054
41	0.4483031504
42	0.4478972309
43	0.447165242
44	0.4471652406
45	0.4471652167
46	0.4460951867
47	0.4459832034
48	0.4452257182
49	0.4451436454
50	0.44456031
51	0.4444241762
52	0.4435890436
53	0.4434294752
54	0.4427312484
55	0.4418114044
56	0.4415886655
57	0.4415774705
58	0.4413690767
59	0.4404857715
60	0.4394228939
61	0.4383855194
62	0.4377161342
63	0.4360993344
64	0.4355143417
65	0.4354540525
66	0.4351128548
67	0.4351122034
68	0.4348883273
69	0.4344217502
70	0.4344210892
71	0.4341354521
72	0.4341281761
73	0.4337653943
74	0.4334399663
75	0.4330551914
76	0.4329647947
77	0.4323980076
78	0.4323972413
79	0.4317171118
80	0.4312820668
81	0.4312820654
82	0.4306378378
83	0.4300643569
84	0.4292356105
85	0.4280728771
86	0.4277056097
87	0.427705609
88	0.4276640507
89	0.4270235839
90	0.4255506236
91	0.4251021006
92	0.4244109957
93	0.422893744
94	0.4208859742
95	0.4206259173
96	0.419729296
97	0.4187617096
98	0.417751586
99	0.417201718
100	0.4161401747
101	0.4151400827
102	0.4147802121
103	0.4142830239
104	0.4135294193
105	0.4130192645
106	0.4117856329
107	0.4116213961
108	0.4099696376
109	0.4094139434
110	0.4086805131
111	0.4082600138
112	0.4071295705
113	0.4059907814
114	0.4057227903
115	0.4042998403
116	0.4036812143
117	0.4034309848
118	0.402643943
119	0.4021245921
120	0.401532516
121	0.4001974178
122	0.399560931
123	0.3985810555
124	0.3983548732
125	0.397683021
126	0.3974528801
127	0.3970110574
128	0.3964553596
129	0.3957999307
130	0.3952243497
131	0.3947227258
132	0.3942513473
133	0.3936210358
134	0.3927248467
135	0.3916479271
136	0.3911657415
137	0.3907117671
138	0.3904417744
139	0.3896489789
140	0.3890996978
141	0.388046675
142	0.3878312864
143	0.3876653564
144	0.3873583612
145	0.3867559413
146	0.3863634384
147	0.3852343826
148	0.3849551832
149	0.3846396881
150	0.3835883598
151	0.3834053955
152	0.3831983535
153	0.3828564418
154	0.381934943
155	0.3817408172
156	0.3813619797
157	0.3805445911
158	0.3801373915
159	0.3794203443
160	0.3790594231
161	0.3787427884
162	0.3776840557
163	0.3771544692
164	0.3764535946
165	0.3757322269
166	0.3756048191
167	0.3754352936
168	0.374877316
169	0.373796626
170	0.3736722258
171	0.3732477496
172	0.3730362924
173	0.3727282305
174	0.3724858731
175	0.371910889
176	0.3716026311
177	0.3709515321
178	0.3702310352
179	0.3701556104
180	0.3694334312
