iter	Passed	Remaining
0	50	40277
1	151	60621
2	230	61104
3	316	62961
4	398	63359
5	485	64267
6	546	61857
7	618	61182
8	685	60257
9	766	60545
10	840	60274
11	871	57241
12	934	56559
13	994	55858
14	1059	55442
15	1081	53013
16	1154	53163
17	1250	54312
18	1329	54645
19	1397	54495
20	1466	54399
21	1490	52699
22	1557	52620
23	1625	52572
24	1708	52977
25	1777	52924
26	1832	52451
27	1906	52554
28	1983	52734
29	2072	53188
30	2146	53239
31	2206	52954
32	2286	53139
33	2353	53015
34	2411	52713
35	2482	52674
36	2551	52607
37	2613	52409
38	2688	52466
39	2774	52714
40	2840	52588
41	2863	51685
42	2972	52329
43	3078	52902
44	3095	51932
45	3125	51234
46	3193	51158
47	3268	51207
48	3344	51259
49	3369	50546
50	3434	50435
51	3462	49808
52	3518	49589
53	3545	48980
54	3603	48809
55	3666	48706
56	3728	48606
57	3751	47993
58	3824	48036
59	3900	48104
60	3965	48038
61	4031	47993
62	4110	48090
63	4179	48065
64	4252	48084
65	4296	47777
66	4363	47733
67	4385	47204
68	4463	47291
69	4533	47275
70	4557	46797
71	4619	46708
72	4651	46326
73	4710	46210
74	4772	46135
75	4836	46070
76	4877	45799
77	4946	45783
78	4968	45346
79	5043	45391
80	5123	45478
81	5149	45091
82	5241	45275
83	5302	45195
84	5364	45125
85	5445	45206
86	5520	45244
87	5550	44905
88	5578	44565
89	5652	44590
90	5736	44695
91	5810	44717
92	5889	44775
93	5972	44855
94	6051	44908
95	6148	45090
96	6223	45104
97	6307	45184
98	6384	45209
99	6454	45178
100	6516	45097
101	6589	45094
102	6669	45133
103	6757	45221
104	6854	45369
105	6939	45432
106	7020	45469
107	7092	45443
108	7151	45337
109	7209	45220
110	7261	45074
111	7335	45060
112	7412	45067
113	7499	45128
114	7576	45129
115	7648	45100
116	7738	45171
117	7813	45157
118	7895	45181
119	7970	45166
120	8045	45148
121	8134	45207
122	8209	45184
123	8292	45208
124	8360	45149
125	8436	45126
126	8515	45127
127	8596	45133
128	8692	45214
129	8776	45230
130	8859	45246
131	8949	45291
132	9031	45292
133	9112	45289
134	9194	45288
135	9273	45278
136	9349	45244
137	9430	45237
138	9512	45235
139	9595	45234
140	9682	45254
141	9760	45225
142	9847	45241
143	9941	45287
144	10022	45273
145	10102	45254
146	10210	45358
147	10295	45354
148	10389	45394
149	10475	45395
150	10550	45344
151	10640	45363
152	10733	45388
153	10826	45417
154	10913	45412
155	10986	45356
156	11069	45336
157	11150	45307
158	11233	45286
159	11316	45267
160	11411	45291
161	11485	45232
162	11569	45213
163	11681	45302
164	11771	45300
165	11845	45239
166	11931	45223
167	12009	45180
168	12090	45143
169	12190	45178
170	12276	45156
171	12357	45119
172	12432	45059
173	12515	45026
174	12611	45042
175	12696	45013
176	12785	45002
177	12862	44945
178	12941	44898
179	13015	44832
180	13099	44799
181	13184	44768
182	13267	44732
183	13353	44703
184	13435	44662
185	13511	44602
186	13582	44523
187	13661	44473
188	13745	44437
189	13832	44409
190	13924	44397
191	14001	44338
192	14097	44336
193	14187	44317
194	14268	44268
195	14366	44272
196	14443	44211
197	14532	44183
198	14610	44125
199	14693	44079
200	14773	44025
201	14860	43993
202	14937	43928
203	15014	43865
204	15096	43816
205	15196	43818
206	15280	43774
207	15363	43727
208	15439	43657
209	15523	43612
210	15615	43590
211	15691	43520
212	15773	43468
213	15854	43414
214	15937	43365
215	16011	43289
216	16092	43234
217	16174	43180
218	16254	43122
219	16361	43135
220	16475	43164
221	16572	43148
222	16678	43153
223	16776	43140
224	16876	43129
225	16978	43121
226	17064	43074
227	17150	43027
228	17234	42974
229	17327	42941
230	17416	42899
231	17500	42846
232	17589	42804
233	17676	42755
234	17756	42691
235	17861	42685
236	17961	42668
237	18053	42631
238	18145	42592
239	18251	42587
240	18347	42556
241	18438	42515
242	18519	42448
243	18598	42380
244	18691	42340
245	18775	42283
246	18867	42241
247	18961	42203
248	19041	42135
249	19121	42067
250	19207	42011
251	19293	41956
252	19387	41916
253	19475	41865
254	19556	41798
255	19641	41737
256	19717	41659
257	19795	41585
258	19882	41531
259	19965	41466
260	20042	41390
261	20121	41317
262	20199	41244
263	20282	41179
264	20378	41142
265	20460	41074
266	20543	41009
267	20627	40947
268	20703	40869
269	20784	40800
270	20863	40726
271	20940	40648
272	21018	40574
273	21129	40562
274	21224	40520
275	21301	40442
276	21381	40370
277	21454	40285
278	21536	40217
279	21622	40156
280	21717	40111
281	21797	40038
282	21878	39968
283	21968	39914
284	22053	39850
285	22130	39773
286	22210	39700
287	22290	39627
288	22374	39562
289	22465	39507
290	22555	39451
291	22626	39364
292	22697	39274
293	22769	39188
294	22841	39102
295	22930	39043
296	23004	38960
297	23079	38878
298	23157	38802
299	23257	38762
300	23337	38689
301	23414	38610
302	23486	38523
303	23566	38450
304	23645	38374
305	23723	38298
306	23797	38215
307	23875	38138
308	23953	38062
309	24028	37979
310	24111	37912
311	24184	37826
312	24268	37760
313	24345	37680
314	24422	37603
315	24501	37528
316	24585	37459
317	24658	37375
318	24749	37317
319	24828	37242
320	24896	37151
321	24973	37072
322	25057	37004
323	25138	36931
324	25222	36863
325	25313	36805
326	25400	36741
327	25491	36683
328	25592	36638
329	25666	36555
330	25750	36486
331	25817	36393
332	25874	36286
333	25964	36226
334	26030	36131
335	26102	36046
336	26196	35991
337	26315	35970
338	26395	35894
339	26473	35816
340	26563	35754
341	26651	35691
342	26735	35621
343	26829	35564
344	26912	35493
345	26990	35415
346	27061	35328
347	27127	35234
348	27230	35189
349	27310	35113
350	27383	35029
351	27459	34949
352	27538	34871
353	27631	34812
354	27744	34777
355	27854	34739
356	27975	34714
357	28055	34638
358	28127	34552
359	28214	34484
360	28311	34429
361	28418	34385
362	28537	34354
363	28647	34313
364	28748	34262
365	28857	34218
366	28960	34169
367	29038	34088
368	29112	34003
369	29195	33929
370	29277	33855
371	29367	33787
372	29457	33722
373	29558	33668
374	29659	33613
375	29748	33545
376	29838	33479
377	29947	33433
378	30017	33344
379	30127	33298
380	30238	33254
381	30341	33201
382	30410	33110
383	30472	33012
384	30572	32954
385	30651	32874
386	30749	32815
387	30864	32773
388	30976	32728
389	31091	32686
390	31210	32647
391	31284	32561
392	31366	32484
393	31466	32425
394	31551	32350
395	31657	32296
396	31755	32235
397	31847	32167
398	31940	32100
399	32037	32037
400	32127	31967
401	32222	31901
402	32310	31829
403	32394	31752
404	32507	31704
405	32631	31667
406	32736	31610
407	32841	31553
408	32962	31511
409	33069	31456
410	33192	31416
411	33281	31342
412	33366	31265
413	33458	31195
414	33574	31147
415	33684	31093
416	33767	31014
417	33861	30945
418	33975	30893
419	34082	30836
420	34206	30794
421	34311	30734
422	34400	30659
423	34472	30569
424	34548	30483
425	34624	30397
426	34699	30310
427	34777	30227
428	34851	30139
429	34944	30068
430	35054	30012
431	35152	29944
432	35234	29864
433	35319	29785
434	35422	29722
435	35516	29651
436	35594	29567
